MUNICIPIO,SUBREGION,DISTRIBUIDOR
CAUCASIA,BAJO CAUCA,SURTIGAS
EL BAGRE,BAJO CAUCA,SURTIGAS
NECHI,BAJO CAUCA,SURTIGAS
TARAZA,BAJO CAUCA,SURTIGAS
CACERES,BAJO CAUCA,SURTIGAS
ZARAGOZA,BAJO CAUCA,SURTIGAS
CARACOLI,MAGDALENA MEDIO,EPM-GAS
MACEO,MAGDALENA MEDIO,EPM-GAS
PUERTO BERRIO,MAGDALENA MEDIO,EPM-GAS
PUERTO NARE,MAGDALENA MEDIO,EPM-GAS
PUERTO TRIUNFO,MAGDALENA MEDIO,ALCANOS
YONDO,MAGDALENA MEDIO,GASORIENTE
AMALFI,NORDESTE,EPM-GAS
ANORI,NORDESTE,NO SERVICE
CISNEROS,NORDESTE,EPM-GAS
REMEDIOS,NORDESTE,EPM-GAS
SAN ROQUE,NORDESTE,EPM-GAS
SANTO DOMINGO,NORDESTE,EPM-GAS
SEGOVIA,NORDESTE,SURTIGAS
VEGACHI,NORDESTE,EPM-GAS
YALI,NORDESTE,EPM-GAS
YOLOMBO,NORDESTE,EPM-GAS
ANGOSTURA,NORTE,NO SERVICE
BELMIRA,NORTE,EPM-GAS
BRICEÑO,NORTE,NO SERVICE
CAMPAMENTO,NORTE,NO SERVICE
CAROLINA DEL PRINCIPE,NORTE,EPM-GAS
DONMATIAS,NORTE,EPM-GAS
ENTRERRIOS,NORTE,EPM-GAS
GOMEZ PLATA,NORTE,EPM-GAS
GUADALUPE,NORTE,EPM-GAS
ITUANGO,NORTE,EPM-GAS
SAN ANDRES DE CUERQUIA,NORTE,EPM-GAS
SAN JOSE DE LA MONTAÑA,NORTE,EPM-GAS
SAN PEDRO DE LOS MILAGROS,NORTE,EPM-GAS
SANTA ROSA DE OSOS,NORTE,EPM-GAS
TOLEDO,NORTE,EPM-GAS
VALDIVIA,NORTE,EPM-GAS
YARUMAL,NORTE,EPM-GAS
ABRIAQUI,OCCIDENTE,NO SERVICE
ANZA,OCCIDENTE,NO SERVICE
ARMENIA,OCCIDENTE,NO SERVICE
SANTAFE DE ANTIOQUIA,OCCIDENTE,EPM-GAS
BURITICA,OCCIDENTE,NO SERVICE
CAICEDO,OCCIDENTE,NO SERVICE
CAÑASGORDAS,OCCIDENTE,EPM-GAS
DABEIBA,OCCIDENTE,EPM-GAS
EBEJICO,OCCIDENTE,NO SERVICE
FRONTINO,OCCIDENTE,EPM-GAS
GIRALDO,OCCIDENTE,NO SERVICE
HELICONIA,OCCIDENTE,NO SERVICE
LIBORINA,OCCIDENTE,EPM-GAS
OLAYA,OCCIDENTE,EPM-GAS
PEQUE,OCCIDENTE,NO SERVICE
SABANALARGA,OCCIDENTE,EPM-GAS
SAN JERONIMO,OCCIDENTE,EPM-GAS
SOPETRAN,OCCIDENTE,EPM-GAS
URAMITA,OCCIDENTE,NO SERVICE
ABEJORRAL,ORIENTE,EPM-GAS
ALEJANDRIA,ORIENTE,NO SERVICE
ARGELIA,ORIENTE,NO SERVICE
COCORNA,ORIENTE,EPM-GAS
CONCEPCION,ORIENTE,EPM-GAS
EL CARMEN DE VIBORAL,ORIENTE,ALCANOS
EL PEÑOL,ORIENTE,EPM-GAS
SANTUARIO,ORIENTE,ALCANOS
EL RETIRO,ORIENTE,EPM-GAS
GRANADA,ORIENTE,EPM-GAS
GUARNE,ORIENTE,EPM-GAS
GUATAPE,ORIENTE,EPM-GAS
LA CEJA,ORIENTE,EPM-GAS
LA UNION,ORIENTE,EPM-GAS
MARINILLA,ORIENTE,EPM-GAS Y ALCANOS
NARIÑO,ORIENTE,NO SERVICE
RIONEGRO,ORIENTE,EPM-GAS Y ALCANOS
SAN CARLOS,ORIENTE,EPM-GAS
SAN FRANCISCO,ORIENTE,NO SERVICE
SAN LUIS,ORIENTE,EPM-GAS
SAN RAFAEL,ORIENTE,EPM-GAS
SAN VICENTE,ORIENTE,EPM-GAS
SONSON,ORIENTE,EPM-GAS
AMAGA,SUROESTE,EPM-GAS
ANDES,SUROESTE,PROVISERVICIOS
ANGELOPOLIS,SUROESTE,EPM-GAS
BETANIA,SUROESTE,EPM-GAS
BETULIA,SUROESTE,EPM-GAS
CARAMANTA,SUROESTE,EPM-GAS
CIUDAD BOLIVAR,SUROESTE,EPM-GAS
CONCORDIA,SUROESTE,EPM-GAS
FREDONIA,SUROESTE,EPM-GAS
HISPANIA,SUROESTE,EPM-GAS
JARDIN,SUROESTE,EPM-GAS
JERICO,SUROESTE,EPM-GAS
LA PINTADA,SUROESTE,NO SERVICE
MONTEBELLO,SUROESTE,EPM-GAS
PUEBLORRICO,SUROESTE,EPM-GAS
SALGAR,SUROESTE,EPM-GAS
SANTA BARBARA,SUROESTE,EPM-GAS
TAMESIS,SUROESTE,EPM-GAS
TARSO,SUROESTE,EPM-GAS
TITIRIBI,SUROESTE,EPM-GAS
URRAO,SUROESTE,EPM-GAS
VALPARAISO,SUROESTE,EPM-GAS
VENECIA,SUROESTE,EPM-GAS
ARBOLETES,URABA,EPM-GAS
APARTADO,URABA,EPM-GAS
CAREPA,URABA,EPM-GAS
CHIGORODO,URABA,EPM-GAS
MURINDO,URABA,NO SERVICE
MUTATA,URABA,EPM-GAS
NECOCLI,URABA,EPM-GAS
SAN JUAN DE URABA,URABA,EPM-GAS
SAN PEDRO DE URABA,URABA,EPM-GAS
TURBO,URABA,EPM-GAS
VIGIA DEL FUERTE,URABA,NO SERVICE
MEDELLIN,VALLE DE ABURRA,EPM-GAS
BARBOSA,VALLE DE ABURRA,EPM-GAS
BELLO,VALLE DE ABURRA,EPM-GAS
COPACABANA,VALLE DE ABURRA,EPM-GAS
CALDAS,VALLE DE ABURRA,EPM-GAS
ENVIGADO,VALLE DE ABURRA,EPM-GAS
GIRARDOTA,VALLE DE ABURRA,EPM-GAS
ITAGUI,VALLE DE ABURRA,EPM-GAS
LA ESTRELLA,VALLE DE ABURRA,EPM-GAS
SABANETA,VALLE DE ABURRA,EPM-GAS