MUNICIPIO,SUBREGION
CAUCASIA,BAJO CAUCA
EL BAGRE,BAJO CAUCA
NECHI,BAJO CAUCA
TARAZA,BAJO CAUCA
CACERES,BAJO CAUCA
ZARAGOZA,BAJO CAUCA
CARACOLI,MAGDALENA MEDIO
MACEO,MAGDALENA MEDIO
PUERTO BERRIO,MAGDALENA MEDIO
PUERTO NARE,MAGDALENA MEDIO
PUERTO TRIUNFO,MAGDALENA MEDIO
YONDO,MAGDALENA MEDIO
AMALFI,NORDESTE
ANORI,NORDESTE
CISNEROS,NORDESTE
REMEDIOS,NORDESTE
SAN ROQUE,NORDESTE
SANTO DOMINGO,NORDESTE
SEGOVIA,NORDESTE
VEGACHI,NORDESTE
YALI,NORDESTE
YOLOMBO,NORDESTE
ANGOSTURA,NORTE
BELMIRA,NORTE
BRICEÑO,NORTE
CAMPAMENTO,NORTE
CAROLINA DEL PRINCIPE,NORTE
DONMATIAS,NORTE
ENTRERRIOS,NORTE
GOMEZ PLATA,NORTE
GUADALUPE,NORTE
ITUANGO,NORTE
SAN ANDRES DE CUERQUIA,NORTE
SAN JOSE DE LA MONTAÑA,NORTE
SAN PEDRO DE LOS MILAGROS,NORTE
SANTA ROSA DE OSOS,NORTE
TOLEDO,NORTE
VALDIVIA,NORTE
YARUMAL,NORTE
ABRIAQUI,OCCIDENTE
ANZA,OCCIDENTE
ARMENIA,OCCIDENTE
SANTAFE DE ANTIOQUIA,OCCIDENTE
BURITICA,OCCIDENTE
CAICEDO,OCCIDENTE
CAÑASGORDAS,OCCIDENTE
DABEIBA,OCCIDENTE
EBEJICO,OCCIDENTE
FRONTINO,OCCIDENTE
GIRALDO,OCCIDENTE
HELICONIA,OCCIDENTE
LIBORINA,OCCIDENTE
OLAYA,OCCIDENTE
PEQUE,OCCIDENTE
SABANALARGA,OCCIDENTE
SAN JERONIMO,OCCIDENTE
SOPETRAN,OCCIDENTE
URAMITA,OCCIDENTE
ABEJORRAL,ORIENTE
ALEJANDRIA,ORIENTE
ARGELIA,ORIENTE
COCORNA,ORIENTE
CONCEPCION,ORIENTE
EL CARMEN DE VIBORAL,ORIENTE
EL PEÑOL,ORIENTE
SANTUARIO,ORIENTE
EL RETIRO,ORIENTE
GRANADA,ORIENTE
GUARNE,ORIENTE
GUATAPE,ORIENTE
LA CEJA,ORIENTE
LA UNION,ORIENTE
MARINILLA,ORIENTE
NARIÑO,ORIENTE
RIONEGRO,ORIENTE
SAN CARLOS,ORIENTE
SAN FRANCISCO,ORIENTE
SAN LUIS,ORIENTE
SAN RAFAEL,ORIENTE
SAN VICENTE,ORIENTE
SONSON,ORIENTE
AMAGA,SUROESTE
ANDES,SUROESTE
ANGELOPOLIS,SUROESTE
BETANIA,SUROESTE
BETULIA,SUROESTE
CARAMANTA,SUROESTE
CIUDAD BOLIVAR,SUROESTE
CONCORDIA,SUROESTE
FREDONIA,SUROESTE
HISPANIA,SUROESTE
JARDIN,SUROESTE
JERICO,SUROESTE
LA PINTADA,SUROESTE
MONTEBELLO,SUROESTE
PUEBLORRICO,SUROESTE
SALGAR,SUROESTE
SANTA BARBARA,SUROESTE
TAMESIS,SUROESTE
TARSO,SUROESTE
TITIRIBI,SUROESTE
URRAO,SUROESTE
VALPARAISO,SUROESTE
VENECIA,SUROESTE
ARBOLETES,URABA
APARTADO,URABA
CAREPA,URABA
CHIGORODO,URABA
MURINDO,URABA
MUTATA,URABA
NECOCLI,URABA
SAN JUAN DE URABA,URABA
SAN PEDRO DE URABA,URABA
TURBO,URABA
VIGIA DEL FUERTE,URABA
MEDELLIN,VALLE DE ABURRA
BARBOSA,VALLE DE ABURRA
BELLO,VALLE DE ABURRA
COPACABANA,VALLE DE ABURRA
CALDAS,VALLE DE ABURRA
ENVIGADO,VALLE DE ABURRA
GIRARDOTA,VALLE DE ABURRA
ITAGUI,VALLE DE ABURRA
LA ESTRELLA,VALLE DE ABURRA
SABANETA,VALLE DE ABURRA